La Valette-du-Var,43.1383,5.9831,23884
Vernon,49.09,1.49,23872
Le Bouscat,44.8651,-0.5996,23824
Orly,48.7439,2.3928,23801
Montgeron,48.7039,2.4605,23775
Villeneuve-la-Garenne,48.9372,2.3278,23771
Saint-Ouen-l’Aumône,49.0447,2.1111,23741
Dole,47.0931,5.4906,23708
Maisons-Laffitte,48.9469,2.1456,23669
Lormont,44.8792,-0.5217,23538
Sèvres,48.8239,2.2117,23507
Eysines,44.8853,-0.65,23462
Les Lilas,48.88,2.42,23045
Roissy-en-Brie,48.7906,2.6519,22994
Grande-Synthe,51.0139,2.3028,22966
Hérouville-Saint-Clair,49.2044,-0.3253,22954
Abbeville,50.1058,1.8358,22946
Frontignan,43.4483,3.7561,22762
Lanester,47.7647,-3.3422,22728
Épernay,49.0403,3.96,22671
Saint-Mandé,48.8422,2.4186,22619
Torcy,48.8502,2.6508,22568
Fontaine,45.1939,5.6856,22523
Mandelieu-la-Napoule,43.5464,6.9381,22452
Oyonnax,46.2561,5.6556,22427
Combs-la-Ville,48.67,2.56,22383
Manosque,43.8342,5.7839,22333
Deuil-la-Barre,48.9767,2.3272,22306
Tassin-la-Demi-Lune,45.764,4.78,22297
Loos,50.6128,3.0144,22233
Millau,44.0986,3.0783,22109
Villeneuve-sur-Lot,44.4081,0.705,22064
Vélizy-Villacoublay,48.7834,2.1834,22036
Sainte-Foy-lès-Lyon,45.73,4.8,22012
Le Petit-Quevilly,49.4311,1.0539,21995
Olivet,47.8639,1.9006,21951
Chaumont,48.1117,5.1389,21945
Auch,43.6465,0.5855,21935
Dammarie-lè-Lys,48.5177,2.6402,21835
Montigny-lès-Metz,49.1006,6.1539,21819
Le Creusot,46.8014,4.4411,21630
Montigny-lès-Cormeilles,48.9944,2.1958,21601
Seynod,45.8889,6.0961,21595
Forbach,49.19,6.9,21552
Arcueil,48.8075,2.3361,21501
Montmorency,48.9906,2.3228,21461
Hazebrouck,50.725,2.5392,21441
Annecy-le-Vieux,45.9192,6.1419,21390
Villeneuve-le-Roi,48.7333,2.4167,21384
Gif-sur-Yvette,48.7018,2.1339,21379
Couëron,47.2156,-1.7228,21372
Thorigny-sur-Marne,48.8788,2.7075,21356
Longjumeau,48.6943,2.2958,21221
Saint-Genis-Laval,45.696,4.793,21217
Allauch,43.3369,5.4828,21187
Saint-Louis,47.59,7.57,21177
La Madeleine,50.6558,3.071,21173
Gujan-Mestras,44.6364,-1.0667,21152
Neuilly-Plaisance,48.8619,2.5064,21150
Coudekerque-Branche,51.0253,2.3917,21134
Les Pennes-Mirabeau,43.4106,5.3103,21046
Croix,50.6781,3.1508,21041
Beaune,47.025,4.8397,21031
Fleury-les-Aubrais,47.9512,1.8745,21026
Achères,48.9602,2.0684,21017
La Celle-Saint-Cloud,48.8411,2.1344,20966
Morsang-sur-Orge,48.6618,2.3461,20909
Le Mée-sur-Seine,48.5333,2.6289,20816
Halluin,50.7836,3.1256,20800
Gardanne,43.4553,5.476,20794
Sarreguemines,49.11,7.07,20783
Mons-en-Baroeul,50.6369,3.1103,20782
Saint-Jean-de-Braye,47.9128,1.9719,20751
Saint-Gratien,48.9719,2.2828,20682
Dax,43.71,-1.05,20681
Bourg-la-Reine,48.7796,2.3151,20667
Challans,46.8467,-1.8781,20662
Chaville,48.8086,2.1886,20520
Castelnau-le-Lez,43.6369,3.9019,20480
Saint-Pol-sur-Mer,51.0314,2.3439,20479
Wasquehal,50.6694,3.1308,20479
Mantes-la-Ville,48.975,1.7117,20452
Fougères,48.3525,-1.1986,20418
Pertuis,43.695,5.5036,20380
Mitry-Mory,48.9839,2.6164,20353
Ozoir-la-Ferrière,48.778,2.68,20331
Lisieux,49.15,0.23,20318
Montereau-faut-Yonne,48.3853,2.9508,20206
Chilly-Mazarin,48.7025,2.3125,20181
Le Plessis-Trévise,48.8111,2.5717,20130
Givors,45.5906,4.7689,20121
Voiron,45.3642,5.5906,20108
Cournon-d’Auvergne,45.7422,3.1972,20043
Lannion,48.7325,-3.4553,20040
Nogent-sur-Oise,49.2756,2.4683,20033
Carquefou,47.2969,-1.4928,20032
Saint-Michel-sur-Orge,48.6325,2.3028,19965
Denain,50.3286,3.395,19933
Cahors,44.4475,1.4406,19907
Bourg-lès-Valence,44.9475,4.8953,19889
Chevilly-Larue,48.7664,2.3533,19863
Bressuire,46.84,-0.4886,19733
Saint-Dié-des-Vosges,48.2842,6.9492,19724
L’Isle-sur-la-Sorgue,43.9194,5.0514,19706
